,Title,"Q:Which day, month and year did the crime happen?",Q:what time of the day did the crime happen?,"Q:Did the crime happen in the morning, afternoon,  evening or night?","Q:Did the crime happend on a weekday, weekend or holidays?",Q:What type of crime?,Q:What is the type of the crime?,Q:Is the crime violent or non-violent?,Q:Use 5 key words to describe this crime.,"Q:Map the crime to the crime type: theft, homicide, sex abuse, robbery, burglary",Q:In what location did the crime happend?,Q:Give me the accurate location of the crime.,Q:Did the crime happen in a public or private place?,Q:Did the crime happen in a residential or commercial area?,Q:Did the crime happen indoors or outdoors?
501,U.S. case targets D.C. gang activity,November,daylight,daylight,daylight,drug trafficking,Drug trafficking and firearms,The gunfire that for years rattled Brightwood,The gunfire that for years rattled Brightwood,The gunfire that for years rattled Brightwood,Brightwood Park,Kennedy Street east of Georgia Avenue,public,Brightwood Park,open-air
502,Local Digest,8 January 2023,night,night,Saturday,panhandling and solicitations,panhandling and solicitations,violent,Baltimore has job fair for squeege,robbery,Nationals Park,Nationals Park and the Navy Yard Metro station,public,residential,outdoors
503,LGBTQ nonprofit board sued for lax oversight by receiver foundation,8 January 2023,late,evening,weekday,embezzle,embezzle,non-violent,"The board never met and did not keep records,",theft,El Salvador,D.C.,private,commercial,indoors
504,Police say D.C. man fatally shot 13-year-old,Saturday,early,morning,Saturday,violence,fatally shot,violent,A man fatally shot a 13-year,homicide,Northeast Washington's Brookland neighborhood,1000 block of Quincy Street NE,residential street,residential,on a residential street
505,Local Digest,Thursday,about 11:30 a.m.,morning,Thursday,unlawful entry,unlawful entry,non-violent,Three people said they were arrested Thursday during a,robbery,National Museum of Natural History,National Museum of Natural History,public,D.C.,inside
506,"After gun case, man charged in killing",Oct. 26,1 a.m,night,weekday,illegal gambling,homicide,violent,Franklin Dorn seemed headed to trial in an illegal,homicide,Tyler House,Tyler House apartments at North Capitol Street and New York,private,residential,outside
507,Ex-officer gets prison in shooting at library,26 August 2023,3:30 p.m,afternoon,Friday,fatal shooting,involuntary manslaughter,violent,A former D.C. police lieutenant,homicide,Anacostia Neighborhood Library,the 1800 block of Good Hope Road SE,public,D.C.,indoors
508,Police lieutenant's texts are shared at Jan. 6 trial,"Jan. 6, 2021",night,night,weekend,seditious conspiracy,seditious conspiracy,violent,"Enrique Tarrio, then chairman of the",seditious conspiracy,D.C.,D.C.,public,D.C.,outdoor
509,Mother says man was killed in front of his 4-year-old,Wednesday,afternoon,afternoon,Wednesday,killing,killing,violent,A 36-year-old man was fatally,homicide,Southeast Washington,the 200 block of Wayne Place SE,private,residential,outdoors
510,'Survivors ready? Go.',21 May 2023,Saturday,evening,Saturday,tumultuous year,tumultuous year,non-violent,Justice Ketanji Brown Jackson told graduates at,robbery,Washington,Washington College of Law,public,residential,inside
511,Family and friends gather to remember 10-year-old shot on Mother's Day,On Mother's Day,evening,evening,On Mother's Day,gun violence,homicide,violent,"On Mother's Day, one of dozens",homicide,Northeast Washington,Northeast Washington,public,residential,outdoors
512,Local Digest,21 May 2023,early that morning,morning,Saturday morning,homicides,homicides,violent,homicide,homicide,Woodbridge,Woodbridge,private,residential,outdoors
513,Md. police detective mourns his slain son,Oct. 27,afternoon,afternoon,Fridays,homicide,homicide,violent,A police detective mourns his slain,homicide,Old Fort Road,Old Fort Road,park,park,outdoor
514,District man gets 35 years in 2010 death of missing woman,October 2010,evening,evening,Friday,murder,second-degree murder,violent,A D.C. man was sentenced Friday,homicide,Southeast Washington,Garfield Heights neighborhood,private,residential,indoors
515,Local Digest,Saturday,Saturday morning,morning,Friday,shooting,stabbing,peaceful,A man was fatally stabbed Saturday morning,robbery,"Suitland, Md.","Suitland, Md.",private,residential,indoors
516,"Man charged with murder in killing of security-company owner, police say",Feb. 23,just before midnight,just before midnight,just before midnight on Feb. 23,murder,murder,violent,"Eugene Smith, 31, of D.C.",homicide,outside a skating rink,3100 block of Branch Avenue,public,commercial,outside
517,Local Digest,March 9,On Tuesday,night,Tuesday,homicides,homicides,homicides,A bald eaglet has ,robbery,Fairlawn neighborhood,Dulles Greenway,public,neighborhood,outdoors
518,"SUV in deadly Rock Creek crash had over 40 unpaid traffic tickets, DMV says",Wednesday,early,early,Wednesday,traffic,most of the tickets were for speeding violations,violent,The SUV that police said fled a traffic stop,homicide,Rock Creek Parkway,Rock Creek Parkway,public,Rock Creek Parkway,outdoors
519,Metro Transit Police officer shoots suspect after stabbing in Anacostia,Thursday,afternoon,afternoon,Thursday,stabbing,altercation,violent,A man was shot after he stabbed,robbery,Anacostia Metro station,Anacostia Metro station,public,commercial,outdoors
520,Man allegedly shoots two he says robbed him,Monday,Monday night,night,Monday,robbery,robbery,violent,A 28-year-old man shot and critically,robbery,Northeast Washington,Northeast Washington,public,residential,outdoors
521,"Scams are on the rise, costing renters thousands",5 August 2023,5 August 2023,evening,weekend,fraud,fraud,non-violent,Scams targeting those rushing to find ,burglary,D.C.,D.C.,private,residential,indoors
522,2 infants on D.C.'s list of homicide omissions,2022,midday,night,weekday morning,homicide,homicide,violent,The pace of killings in the District so far,homicide,D.C.,Cathedral Heights,private,residential,indoors
523,Murder conviction in death of still-missing woman,"October 9, 2010",7:20 a.m.,night,night,murder,second-degree murder,violent,A District man accused of killing a 24-year,homicide,Garfield Heights neighborhood,Garfield Heights neighborhood,private,residential,indoors
524,Program targets risky drivers,24 June 2023,The District government plans to launch a personalized messaging,morning,weekday,traffic,traffic violations,deadly,The District government plans to launch a personalized messaging,The District government plans to launch a personalized messaging,Washington-area,The District government plans to launch a personalized messaging,public,Washington-area,on city streets
525,,August,daytime,daytime,daytime,daytime drug transactions,armed robberies,violent,a carjacking,robbery,Seventh and H streets NW,Seventh and H streets NW,public,residential,outdoors
526,"Before assault on teachers, suspect's sister tried to get him help","Oct. 23,",afternoon,afternoon,Monday,assault,assault,assault on teachers,"Russell Fred Dunkley III, 38, has","The attack, near Second and S streets NW in",Bloomingdale neighborhood,"The Oct. 23 attack, near Second and S",public,public,outside
